HR,Name,DM,HD,SAO,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Vmag,B-V,SpType,Const-Info
152,,BD+43  113,3346,36509,0.0,36.0,46.6,+,44.0,29.0,19.0,5.13,1.6,K5-M0III,5-
153,17Zet Cas,BD+53  105,3360,21566,0.0,36.0,58.3,+,53.0,53.0,49.0,3.66,-0.2,B2IV,2I
154,29Pi  And,BD+32  101,3369,54033,0.0,36.0,52.9,+,33.0,43.0,10.0,4.36,-0.14,B5V,5V
155,53    Psc,BD+14   76,3379,91995,0.0,36.0,47.3,+,15.0,13.0,54.0,5.89,-0.15,B2.5IV,2.
156,,BD+23   84,3411,74148,0.0,37.0,7.2,+,24.0,0.0,51.0,6.47,,K2III,2I
157,,BD+34   86,3421,54038,0.0,37.0,21.1,+,35.0,23.0,58.0,5.48,0.88,G2.5IIa,2.
158,,BD+81   13,3440,106,0.0,39.0,47.3,+,82.0,29.0,38.0,6.4,0.55,dF6,6
159,,CD-25  225,3443,166418,0.0,37.0,20.7,-,24.0,46.0,2.0,5.57,0.72,G8V,8V
160,,CP-65   58,3444,248225,0.0,36.0,37.4,-,65.0,7.0,29.0,6.42,1.26,K2-3III,2-
161,,BD+02   80,3457,109315,0.0,37.0,30.5,+,3.0,8.0,7.0,6.39,1.33,K4III,4I
162,,CP-55  130,3488,232114,0.0,37.0,18.1,-,54.0,23.0,39.0,6.41,1.0,K0II-IIICNIV,0I
163,30Eps And,BD+28  103,3546,74164,0.0,38.0,33.3,+,29.0,18.0,42.0,4.37,0.87,G6IIIFe-3CH1,6I
164,,BD+48  192,3574,36550,0.0,39.0,9.9,+,49.0,21.0,16.0,5.43,1.64,K7III,7I
165,31Del And,BD+30   91,3627,54058,0.0,39.0,19.7,+,30.0,51.0,39.0,3.27,1.28,K3III,3I
166,54    Psc,BD+20   85,3651,74175,0.0,39.0,21.8,+,21.0,15.0,2.0,5.87,0.85,K0+V,0+
167,55    Psc,BD+20   87,3690,74182,0.0,39.0,55.6,+,21.0,26.0,18.0,5.36,1.16,K0III+F3V,0I
