x,y,z,brightness
0.8504408160410604,0.5200455266890798,0.07939186722891028,5.33
-0.5157231772160935,0.8546430128782126,-0.06012424652824468,5.89
0.8750649121692701,-0.46830481940324037,0.122278353006106,5.83
-0.8783684079812253,0.4755926455589606,0.04775536986304917,6.04
-0.8782572221057942,0.4700132345248047,0.08804437057838875,4.8
0.5217271890586527,-0.8515203860480698,-0.052093880077251506,4.59
0.03403102458582786,-0.9931574537484532,0.11171464286085293,6.17
0.8496276560276284,0.5228647795866082,-0.06888590843449467,5.7
0.041126383356824094,-0.9950822106404836,0.09011112394613556,4.94
-0.8826660703625632,0.4691572142371907,-0.028144565370766036,6.06
0.8434129340604681,0.5271081809526891,-0.10397878741483535,5.98
-0.033892051216963905,0.9954470124497478,-0.0890874529278862,5.39
-0.5357592087101464,0.8443571443442882,0.004804485095886903,2.04
